thread_key,sender,content,input_token_count,output_token_count,rating,created_at
THR-001,user,採用プロセスを見直したい,120,0,,2026-03-03T09:00:10+09:00
THR-001,assistant,現状の課題を3点で整理します,0,210,good,2026-03-03T09:00:20+09:00
THR-002,user,昨夜のAPIエラーを調査したい,150,0,,2026-03-04T09:00:10+09:00
THR-002,assistant,ログ上はタイムアウトが発生しています,0,260,bad,2026-03-04T09:00:35+09:00
THR-002,user,RAGの参照元を確認して,90,0,,2026-03-04T09:10:10+09:00
THR-002,assistant,参照候補は3件ヒットしています,0,180,good,2026-03-04T09:10:30+09:00
THR-003,user,提案書の要点をまとめて,100,0,,2026-02-20T10:00:10+09:00
THR-003,assistant,売上拡大施策を中心にまとめます,0,190,good,2026-02-20T10:00:25+09:00
THR-003,user,3月版に更新して,80,0,,2026-03-02T14:00:10+09:00
THR-003,assistant,3月指標を反映して更新しました,0,170,good,2026-03-02T14:00:35+09:00
THR-004,user,締め処理のチェックリストを出して,110,0,,2026-03-04T08:30:10+09:00
THR-004,assistant,会計課向けチェックリストを提示します,0,160,good,2026-03-04T08:30:30+09:00
THR-005,user,オンボーディング資料の目次を作って,140,0,,2026-03-01T11:00:10+09:00
THR-005,assistant,初回導入向け目次を提案します,0,200,good,2026-03-01T11:00:25+09:00
THR-005,user,3日後のフォロー資料も追加して,100,0,,2026-03-03T11:45:10+09:00
THR-005,assistant,フォローアップ章を追加しました,0,210,good,2026-03-03T11:45:30+09:00
